款,項,目,節,説明,R5,R6
市税,,,,,47449800,46460600
,市民税,,,,,16739000
,,個人,,,15208500,14297700
,,,現年課税分,,,14181000
,,,,"均等割（調定見込額 402,000×98.9％）",,397000
,,,,"所得割（調定見込額 (15,088,000-1,150,000)×98.9％）",,13784000
,,,滞納繰越分,"調定見込額 350,700×33.3％",,116700
,,法人,,,2364800,2441300
,,,現年課税分,,,2438000
,,,,"均等割（調定見込額 770,000×99.8％）",,768000
,,,,"法人税割（調定見込額 1,674,000×99.8％）",,1670000
,,,滞納繰越分,"調定見込額 17,900×18.8％",,3300
,固定資産税,,,,,23139800
,,固定資産税,,,23282800,23084800
,,,現年課税分,,,22998000
,,,,"土 地（調定見込額 8,185,000×99.5％）",,8144000
,,,,"家 屋（調定見込額 8,458,000×99.5％）",,8415000
,,,,"償却資産（調定見込額 6,472,000×99.5％）",,6439000
,,,滞納繰越分,,,86800
,,国有資産等所在市町村交付金,,,56000,55000
,,,現年課税分,,,55000
,,,,"交付金（算定標準額 3,991,000×1.4％）",,55000
,軽自動車税,,,,,887800
,,環境性能割,,,57000,50000
,,,環境性能割,,,50000
,,種別割,,,810400,837800
,,,現年課税分,"調定見込額 842,000×98.6％",,830000
,,,滞納繰越分,"調定見込額 26,200×29.9％",,7800
,市たばこ税,,,,,1987000
,,市たばこ税,,,1920000,1987000
,,,現年課税分,,,1987000
,,,,従量割,,1987000
,都市計画税,,,,,3707000
,,都市計画税,,,3750300,3707000
,,,現年課税分,,,3693000
,,,,"土 地（調定見込額 2,057,000×99.5％）",,2046000
,,,,家 屋,,1647000
地方譲与税,,,,,658000,678000
,地方揮発油譲与税,,,,,140000
,,地方揮発油譲与税,,,140000,140000
,,,地方揮発油譲,,,140000
,,,,地方揮発油譲与税（備考 与税）,,140000
,自動車重量譲与税,,,,,450000
,,自動車重量譲与税,,,450000,450000
,,,自動車重量譲,,,450000
,,,,"自動車重量譲与税（備考 与税 自動車重量税収入額の 407／1,000相当額）",,450000
,森林環境譲与税,,,,,78000
,,森林環境譲与税,,,58000,78000
,,,森林環境譲与,,,78000
,,,,森林環境譲与税（備考 税）,,78000
,特別とん譲与税,,,,,10000
,,特別とん譲与税,,,10000,10000
,,,特別とん譲与,,,10000
,,,,特別とん譲与税（備考 税 入港外国貿易船純トン数当たり 20円）,,10000
利子割交付金,,,,,20000,16000
,利子割交付金,,,,,16000
,,利子割交付金,,,20000,16000
,,,利子割交付金,,,16000
配当割交付金,,,,,150000,200000
,配当割交付金,,,,,200000
,,配当割交付金,,,150000,200000
,,,配当割交付金,,,200000
株式等譲渡所得割交付金,,,,,100000,250000
,株式等譲渡所得割交付金,,,,,250000
,,株式等譲渡所得割交付金,,,100000,250000
,,,株式等譲渡所,,,250000
,,,,株式等譲渡所得割交付金（備考 得割交付金 交付率 3／5）,,250000
法人事業税交付金,,,,,600000,650000
,法人事業税交付金,,,,,650000
,,法人事業税交付金,,,600000,650000
,,,法人事業税交,,,650000
,,,,法人事業税交付金（備考 付金 交付率 7.7／100）,,650000
地方消費税交付金,,,,,6500000,6200000
,地方消費税交付金,,,,,6200000
,,地方消費税交付金,,,6500000,6200000
,,,地方消費税交,,,6200000
,,,,地方消費税交付金（備考 付金 交付率 1／2）,,6200000
ゴルフ場利用税交付金,,,,,70000,67000
,ゴルフ場利用税交付金,,,,,67000
,,ゴルフ場利用税交付金,,,70000,67000
,,,ゴルフ場利用,,,67000
,,,,ゴルフ場利用税交付金（備考 税交付金 交付率 7／10 大富士ゴルフ場 外3ゴルフ場）,,67000
環境性能割交付金,,,,,90000,90000
,環境性能割交付金,,,,,90000
,,環境性能割交付金,,,90000,90000
,,,環境性能割交,,,90000
,,,,環境性能割交付金（備考 付金 交付率 43／100）,,90000
地方特例交付金,,,,,350000,1502000
,地方特例交付金,,,,,1459000
,,地方特例交付金,,,310000,1459000
,,,地方特例交付,,,1459000
,,,,地方特例交付金,,1459000
,,,,金 住宅借入金等特別税額控除減収補 分,,309000
,,,,定額減税減収補 分,,1150000
,新型コロナウイルス感染症対策地方税減収補 特別交付金,,,,,43000
,,新型コロナウイルス感染症対策地方税減収補 特別,,,40000,43000
,,,新型コロナウ,,,43000
,,,,新型コロナウイルス感染症対策地方税減収補 特別交付金（備考 イルス感染症 対策地方税減 収補 特別交 付金）,,43000
地方交付税,,,,,100000,100000
,地方交付税,,,,,100000
,,地方交付税,,,100000,100000
,,,地方交付税,,,100000
,,,,特別交付税,,100000
交通安全対策特別交付金,,,,,50000,40000
,交通安全対策特別交付金,,,,,40000
,,交通安全対策特別交付金,,,50000,40000
,,,交通安全対策,,,40000
,,,,交通安全対策特別交付金（備考 特別交付金 交付率 1／3）,,40000
分担金及び負担金,,,,,903649,923407
,負担金,,,,,923407
,,総務費負担金,,,90973,93622
,,,総務管理費負,,,93622
,,,,健康管理費企業会計負担金,,18528
,,,,担金 福利厚生費企業会計負担金,,523
,,,,情報公開費企業会計負担金,,401
,,,,会計事務費企業会計等負担金,,734
,,,,契約管理費企業会計負担金,,16970
,,,,工事検査費企業会計等負担金,,9800
,,,,会議録作成支援システム企業会計負担金,,316
,,,,情報化推進費企業会計等負担金,,35432
,,,,共同電算事業費企業会計等負担金,,10917
,,,,公平委員会共同設置運営費負担金,,1
,,民生費負担金,,,287996,312091
,,,老人福祉費負,,,43157
,,,,シルバーハウジング入居者負担金,,429
,,,,担金 緊急保護措置利用者負担金,,100
,,,,"養護老人ホーム入所者及び扶養義務者負担金（備考 44,540円×75人×12月）",,40086
,,,,生きがいデイサービス事業利用者負担金,,2540
,,,,生活支援型ショートステイ事業利用者負担金,,2
,,,児童福祉費負,,,264704
,,,,未熟児養育医療費負担金,,2000
,,,,"担金 保育児童扶養義務者負担金（備考 私立分 （532人） 180,136 私立委託分（12人） 4,226）",,188523
,,,,過年度分,,4161
,,,,保育児童扶養義務者負担金（平日食事分）,,51772
,,,,保育児童扶養義務者負担金（土曜日食事分）,,1221
,,,,保育児童扶養義務者負担金（保育ママ事業）,,7573
,,,,保育児童受託分負担金,,13219
,,,,日本スポーツ振興センター災害共済掛金保護者負担金,,396
,,,障害者福祉費,,,4230
,,,,ふじやま学園日中一時支援事業保護者負担金,,483
,,,,負担金 ふじやま学園短期入所保護者負担金,,716
,,衛生費負担金,,,450548,440556
,,,保健衛生費負,,,29893
,,,,看護専門学校運営費負担金（備考 担金）,,29893
,,,環境対策費負,,,410663
,,,,"環境再生保全機構負担金（備考 担金 補償給付費 405,446×10／10 405,446 福祉事業費 1,854×3／4 1,390 健康被害予防事業費 3,827×10／10 3,827）",,410663
,,土木費負担金,,,4292,4295
,,,土木管理費負,,,1686
,,,,工事設計監理費企業会計負担金（備考 担金）,,1686
,,,道路橋梁費負,,,2609
,,,,土木積算システム企業会計等負担金（備考 担金）,,2609
,,消防費負担金,,,47584,52891
,,,消防費負担金,,,52891
,,,,消防指令センター運営事業費負担金,,52891
,,教育費負担金,,,22256,19952
,,,幼稚園費負担,,,10713
,,,,幼稚園児扶養義務者負担金（食事分）,,9639
,,,,金 幼稚園保育児童受託分負担金,,1074
,,,体育保健費負,,,9239
,,,,"日本スポーツ振興センター災害共済掛金保護者負担金（備考 担金 小学校 5,237 中学校 2,741 市立高校 1,204 幼稚園 57）",,9239
使用料及び手数料,,,,,1333311,1345606
,使用料,,,,,925759
,,総務使用料,,,13,13
,,,総務管理使用,,,13
,,,,市有土地使用料（備考 料）,,13
,,民生使用料,,,160497,186079
,,,児童福祉使用,,,186079
,,,,"保育園等保育料（備考 料 保育園 公立分 （476人） 162,126 公立受託分 （2人） 681 認定こども園 公立分 （31人） 10,551 小規模保育事業所 公立分 （22人） 7,488 公立受託分 （1人） 340）",,181186
,,,,延長保育料,,1557
,,,,一時預かり保育料,,3336
,,衛生使用料,,,108918,109325
,,,保健衛生使用,,,80873
,,,,墓所使用料,,26500
,,,,料 墓所管理料,,28779
,,,,斎場使用料,,720
,,,,斎場産汚物焼却料,,297
,,,,斎場霊柩車使用料,,6000
,,,,斎場施設使用料,,169
,,,,看護専門学校授業料,,18408
,,,清掃使用料,,,28452
,,,,中野台下水処理施設使用料,,26239
,,,,市有土地使用料,,2213
,,農林水産業使用料,,,74,72
,,,林業使用料,,,72
,,,,休養林キャンプ場使用料,,72
,,商工使用料,,,590,583
,,,商工使用料,,,583
,,,,市有建物使用料,,583
,,土木使用料,,,539367,527663
,,,道路橋梁使用,,,134252
,,,,市道占用料（備考 料）,,134252
,,消防使用料,,,430,424
,,,消防使用料,,,424
,,,,市有土地使用料,,424
,,教育使用料,,,98540,101600
,,,高等学校使用,,,81140
,,,,"高等学校授業料（備考 料 9,900円×683人×12月）",,81140
,,,幼稚園使用料,,,1266
,,,,預かり保育料,,1266
,,,社会教育使用,,,781
,,,,中央図書館市民ギャラリー使用料（備考 料）,,781
,,,体育保健使用,,,18413
,,,,小・中・高等学校屋内運動場等使用料,,15015
,,,,料 小・中・高等学校屋外運動場夜間照明施設等使用料,,2485
,,,,高等学校庭球場使用料,,704
,,,,市有土地使用料,,209
,手数料,,,,,419847
,,総務手数料,,,96596,99166
,,,総務手数料,,,99166
,,,,行政不服審査手数料,,1
,,,,戸籍手数料,,33450
,,,,戸籍の全部事項証明書・個人事項証明書（備考 1通 450円（コンビニ交付350円））,,15400
,,,,除籍記載事項証明謄抄本（備考 1通 750円）,,16650
,,,,受理証明等（備考 1通 350円）,,385
,,,,身分証明（備考 1通 350円）,,1015
,,,,住民基本台帳手数料,,30200
,,,,住民票の写し（備考 1通 300円（コンビニ交付200円））,,27800
,,,,戸籍の附票の写し（備考 1通 300円（コンビニ交付200円））,,1700
,,,,現況証明等（備考 1通 350円）,,595
,,,,住民基本台帳の閲覧（備考 1通 350円）,,105
,,,,印鑑証明等手数料,,20650
,,,,印鑑登録証明（備考 1通 300円（コンビニ交付200円））,,18200
,,,,印鑑登録証（備考 1件 350円）,,2450
,,,,自動車臨時運行許可手数料（備考 1両 750円）,,1125
,,,,税証明手数料,,13700
,,,,所得・納税関係証明等（備考 1件 300円（コンビニ交付200円））,,7690
,,,,資産証明等（備考 1件 300円）,,4210
,,,,税証明謄抄本（備考 1件 450円）,,720
,,民生手数料,,,686,465
,,,社会福祉手数,,,226
,,,,介護サービス事業者指定申請手数料（備考 料 更新24件）,,226
,,,老人福祉手数,,,239
,,,,介護予防・日常生活支援総合事業事業者指定申請手数料（備考 料 新規5件 更新13件）,,179
,,,,介護予防支援事業手数料（備考 介護予防サービス計画費）,,60
,,衛生手数料,,,295053,282791
,,,保健衛生手数,,,10889
,,,,看護専門学校入学検定等手数料,,707
,,,,料 犬の登録等手数料,,10182
,,,清掃手数料,,,271899
,,,,塵芥処理手数料,,271846
,,,,一般廃棄物処理業許可申請手数料,,53
,,,環境対策手数,,,3
,,,,鳥獣飼養登録手数料（備考 料）,,3
,,農林水産業手数料,,,87,64
,,,農業手数料,,,64
,,,,農地に関する証明手数料,,64
,,商工手数料,,,1,1
,,,商工手数料,,,1
,,,,計量手数料,,1
,,土木手数料,,,19773,24884
,,,道路橋梁手数,,,177
,,,,放置自転車等撤去・保管手数料（備考 料）,,177
,,,都市計画手数,,,24686
,,,,都市計画に関する証明手数料（備考 料 28件）,,12
,,,,建築確認申請手数料（備考 15件）,,290
,,消防手数料,,,10745,10535
,,,消防手数料,,,10535
,,,,"危険物施設設置等許可申請手数料（備考 特定屋外タンク貯蔵所 440,000円× 2件 880 その他 27,200円×196件 5,331）",,6211
,,,,"危険物施設完成検査前検査申請手数料（備考 特定屋外タンク貯蔵所 265,000円× 2件 530 その他 9,300円× 14件 130）",,660
,,,,"危険物施設完成検査申請手数料（備考 13,500円×188件）",,2538
,,教育手数料,,,1941,1941
,,,高等学校手数,,,1941
,,,,"入学検定料（備考 料 2,200円×250人）",,550
,,,,"入学料（備考 5,650円×240人）",,1356
,,,,卒業証明書等発行手数料（備考 350円×100件）,,35
国庫支出金,,,,,13823146,16482873
,国庫負担金,,,,,12257787
,,民生費負担金,,,11269369,12037068
,,,社会福祉費負,,,220696
,,,,"生活困窮者自立相談支援事業費等負担金（備考 担金 住居確保給付事業 3,528×3／4 2,646 被保護者就労支援事業 11,942×3／4 8,956 被保護者健康管理支援事業 1,089×3／4 816）",,12418
,,,,"保険基盤安定負担金（国民健康保険）（備考 保険者支援分 404,635×1／2）",,202317
,,,,"未就学児均等割保険税負担金（備考 9,068×1／2）",,4534
,,,,"産前産後保険税負担金（備考 2,854×1／2）",,1427
,,,老人福祉費負,,,84478
,,,,"介護保険低所得者保険料軽減負担金（備考 担金 168,957×1／2）",,84478
,,,児童福祉費負,,,2403489
,,,,"児童入所施設措置費負担金（備考 担金 母子生活支援施設 6,032×1／2 3,016 助産施設 3,224×1／2 1,612）",,4628
,,,,"児童扶養手当負担金（備考 852,000×1／3）",,284000
,,,,"未熟児養育医療費負担金（備考 8,000×1／2）",,4000
,,,,未熟児養育医療費負担金過年度分,,1
,,,,"施設型・地域型保育給付費負担金（備考 施設型給付 1号分 494,130×1／2 247,065 2号分 1,367,808×1／2 683,904 3号分 1,272,702×0.5823 741,094 地域型保育給付 家庭的保育 59,018×0.5823 34,366 小規模保育）",,2110860
,,教育費負担金,,,250000,220719
,,,幼稚園費負担,,,220719
,,,,"施設型・地域型保育給付費負担金（備考 金 施設型給付 1号分 593,331×1／2×0.744）",,220719
,,総務費補助金,,,66658,80002
,,,総務管理費補,,,24594
,,,,"地域女性活躍推進交付金（備考 助金 女性のデジタルスキル習得事業 1,243×3／4）",,932
,,,,"社会保障・税番号制度システム整備費補助金（備考 中間サーバー・プラットフォーム 4,920×10／10）",,4920
,,,,"デジタル田園都市国家構想交付金（備考 データ利活用促進事業 24,334×1／2 12,167 公共施設予約システム導入 7,755×1／2 3,877 公共施設予約システム利用料 1,386×1／2 693）",,16737
,,,,"外国人受入環境整備交付金（備考 運営事業 4,010×1／2）",,2005
,,,戸籍住民基本,,,55408
,,,,"社会保障・税番号制度システム整備費補助金（備考 台帳費補助金 戸籍読み仮名法制化対応 9,762×10／10）",,9762
,,,,"個人番号カード交付事務費補助金（備考 45,646×10／10）",,45646
,国庫補助金,,,,,4176782
,,民生費補助金,,,617150,1170690
,,,社会福祉費補,,,102727
,,,,"重層的支援体制整備事業交付金（備考 助金 多機関協働事業 5,669×1／2 2,834 自立相談支援事業 29,833×3／4 22,374 参加支援事業 40,425×1／2 20,212）",,49060
,,,,"生活困窮者支援等のための地域づくり事業（備考 7,280×1／2）",,3640
,,,,"地域少子化対策重点推進交付金（備考 結婚新生活支援事業 38,610×2／3）",,25740
,,,,"生活困窮者就労準備支援事業費等補助金（備考 一時生活支援事業 2,984×2／3 1,989 学習支援事業 23,245×1／2 11,622）",,24179
,,,,"就労準備支援事業（生活困窮者・被保護者分）（備考 10,568×2／3 家計改善支援事業 5,285×2／3 3,523）",,7045
,,,,"女性保護費補助金（備考 7,496×1／2）",,3748
,,,老人福祉費補,,,145512
,,,,"介護保険事業費補助金（備考 助金 介護保険システム改修 19,195×1／2）",,9597
,,,,"生活困窮者就労準備支援事業費等補助金（備考 成年後見制度利用促進体制整備推進事業 2,000×1／2）",,1000
,,,,"重層的支援体制整備事業交付金（備考 地域包括支援センター運営事業 314,687×0.385 121,154 生活支援体制整備事業 35,743×0.385 13,761）",,134915
,,,児童福祉費補,,,863824
,,,,"児童虐待防止対策支援事業費補助金（備考 助金 こどもの権利擁護環境整備事業 974×1／2 487 スーパーバイズ事業 1,516×1／2 758 研修事業 10×1／2 5 医療的機能強化事業 1,400×1／2 700）",,5175
,,衛生費補助金,,,121292,131415
,,,保健衛生費補,,,32039
,,,,感染症予防事業費等補助金（備考 助金 新たなステージに入ったがん検診の 総合支援事業（子宮・乳））,,13638
,,農林水産業費補助金,,,24700,20500
,,,農業費補助金,,,20500
,,,,"デジタル田園都市国家構想交付金（備考 茶業推進事業 4,000×1／2）",,2000
,,商工費補助金,,,69198,25246
,,,商工費補助金,,,25246
,,,,"小規模事業者支援推進事業費補助金（備考 地域産業支援センター事業 20,000×1／2）",,10000
,,,,デジタル田園都市国家構想交付金,,12446
,,,,"新富士駅シェアオフィス進出企業連携事業（備考 10,000×1／2 自転車関連事業 14,893×1／2 7,446）",,5000
,,,,都市構造再編集中支援事業費補助金（備考 まちなかにぎわい創出事業 600×1／2）,,300
,,,,"地方スポーツ振興費補助金（備考 スポーツコミッション設置検討調査 2,500×10／10）",,2500
,,土木費補助金,,,943924,1884998
,,,道路橋梁費補,,,281225
,,,,"社会資本整備総合交付金（備考 助金 一色小沢３号線 73,000×1／2）",,36500
,,,,"防災・安全交付金（備考 田子浦鷹岡線（柚木）舗装 35,000×1／2 17,500 富士岡中里線舗装 20,000×1／2 10,000 厚原込野１６号線舗装 20,000×1／2 10,000 左富士臨港線舗装 25,000×1／2 12,500 吉原沼津線（浮島）舗装 20,000×1／2 10,000 道路照明灯定期点検 15,000×1／2 7,500 道路標識定期点検 10,000×1／2 5,000 新々富士川橋関連道路 20,000×1／2 10,000 青葉台小学校南地区計画・地区施設 24,000×1／2 12,000 橋梁耐震補強 4,000×1／2 2,000）",,96500
,,,,"道路メンテナンス事業補助金（備考 歩道等維持修繕 92,000×55／100 50,600 橋梁長寿命化修繕 177,500×55／100 97,625）",,148225
,,消防費補助金,,,3000,1145
,,,消防費補助金,,,1145
,,,,"デジタル田園都市国家構想交付金（備考 映像通報システム導入 2,290×1／2）",,1145
,,教育費補助金,,,400589,862786
,,,教育総務費補,,,3148
,,,,"へき地児童生徒援助費等補助金（備考 助金 児童通学用車両運行事業 6,296×1／2）",,3148
,,,小学校費補助,,,156595
,,,,"理科教育設備整備費等補助金（備考 金 3,600×1／2）",,1800
,,,,"要保護児童援助費補助金（備考 修学旅行費 25,560円×9人×1／2 115 医療費 10,400円×3人×1／2 15）",,130
,,,,"物価高騰対応重点支援地方創生臨時交付金（備考 小学校就学援助事業 16,970×10／10）",,16970
,,,,"特別支援教育就学奨励費補助金（備考 学用品費・給食費・修学旅行費等 10,115×1／2）",,5057
,,,,"学校施設環境改善交付金（備考 特別教室空調設備設置 117,000×1／3 39,000 吉永第二小学校屋内運動場リニューアル 外壁改修 45,265×1／3 15,088 トイレ改修 7,791×1／3 2,597）",,132638
,国庫委託金,,,,,48304
,,総務費委託金,,,1492,1473
,,,戸籍住民基本,,,1450
,,,,中長期在留者住居地届出等事務委託金,,1370
,,,,台帳費委託金 自衛官募集事務委託金,,80
,,,選挙費委託金,,,23
,,,,在外選挙人名簿登録事務委託金,,23
,,民生費委託金,,,47774,46831
,,,社会福祉費委,,,45829
,,,,国民年金事務費交付金,,44715
,,,,託金 特別障害給付金事務費交付金,,34
,,,,年金生活者支援給付金支給業務市町村事務取扱交付金,,902
,,,,遺族及留守家族等援護費事務委託金,,178
,,,障害者福祉費,,,1002
,,,,特別児童扶養手当事務委託金（備考 委託金 （廃目））,,1002
県支出金,,,,,6995237,7269443
,県負担金,,,,,4704900
,,民生費負担金,,,4441575,4594541
,,,社会福祉費負,,,1118898
,,,,民生委員事務費負担金,,35104
,,,,担金 行旅死亡人等取扱費負担金,,643
,,,,"保険基盤安定負担金（国民健康保険）（備考 保険税軽減分 682,742×3／4 512,056 保険者支援分 404,635×1／4 101,159）",,613215
,,,,"未就学児均等割保険税負担金（備考 9,068×1／4）",,2267
,,,,"産前産後保険税負担金（備考 2,854×1／4）",,713
,,,,"保険基盤安定負担金（後期高齢者医療）（備考 保険料軽減分 618,272×3／4 463,704 被扶養者軽減分 4,336×3／4 3,252）",,466956
,,,老人福祉費負,,,42239
,,,,"介護保険低所得者保険料軽減負担金（備考 担金 168,957×1／4）",,42239
,,,児童福祉費負,,,892984
,,,,"児童入所施設措置費負担金（備考 担金 母子生活支援施設 6,032×1／4 1,508 助産施設 3,224×1／4 806）",,2314
,,,,"未熟児養育医療費負担金（備考 8,000×1／4）",,2000
,,,,未熟児養育医療費負担金過年度分,,1
,,,,"施設型・地域型保育給付費負担金（備考 施設型給付 1号分 494,130×1／4 123,532 2号分 1,367,808×1／4 341,952 3号分 1,272,702×0.20885 265,804 地域型保育給付 家庭的保育 59,018×0.20885 12,326 小規模保育）",,888669
,,教育費負担金,,,125000,110359
,,,幼稚園費負担,,,110359
,,,,"施設型・地域型保育給付費負担金（備考 金 施設型給付 1号分 593,331×1／4×0.744）",,110359
,県補助金,,,,,2091327
,,総務費補助金,,,54130,55454
,,,総務管理費補,,,55454
,,,,"ふじのくにフロンティア推進エリア形成事業費補助金（備考 助金 移住定住者の受け皿づくり等支援 4,999×1／2）",,2499
,,,,ふじのくに新・少子化突破展開事業費補助金,,4205
,,,,"大学生等によるワークシェアの社会実装支援（備考 2,200×1／2 テレワーク移住支援事業 6,111×1／2 3,055 男性の子育て支援講座 100×1／2 50）",,1100
,,,,"移住就業支援事業費補助金（備考 50,000×3／4）",,37500
,,,,地方就職学生支援事業費補助金（備考 地方就職学生支援事業 60×3／4 45）,,45
,,,,"消費者行政強化促進事業費補助金（備考 消費者行政促進事業 3,324×10／10＋1,045×1／2 3,846 ＳＤＧｓ普及啓発事業 5,946×1／2 2,973）",,6819
,,,,人権問題啓発事業費交付金（備考 男女共同参画普及啓発事業 518×1／2）,,259
,,,,地震・津波対策等減災交付金（備考 子育て世代防災セミナー 106×1／3）,,35
,,,,"コミュニティ施設整備事業費補助金（備考 公会堂設置費等補助金 5,300×1／2）",,2650
,,,,初期日本語教室設置運営事業費補助金,,442
,,民生費補助金,,,1147262,1110807
,,,社会福祉費補,,,13856
,,,,"重層的支援体制整備事業交付金（備考 助金 多機関協働事業 5,669×1／4 1,417 参加支援事業 40,425×1／4 10,106）",,11523
,,,,"地震・津波対策等減災交付金（備考 避難行動要支援者支援計画啓発事業 1,745×1／2 872 避難行動要支援者名簿同意確認事業 2,923×1／2 1,461）",,2333
,,,老人福祉費補,,,80509
,,,,"高齢者地域福祉推進事業費補助金（備考 助金 老人クラブ活動助成事業等 4,586×2／3 3,057 老人クラブ支援体制強化事業 3,192×2／3 2,128）",,5185
,,,,地震・津波対策等減災交付金（備考 福祉避難所紙おむつ 172×1／2）,,86
,,,,"成年後見推進事業費補助金（備考 市民後見人養成事業 2,500×10／10）",,2500
,,,,"重層的支援体制整備事業交付金（備考 地域包括支援センター運営事業 314,687×0.1925 60,577 生活支援体制整備事業 35,743×0.1925 6,880）",,67457
,,,,介護保険低所得者利用者負担対策事業費補助金,,5281
,,,,障害者ホームヘルプサービス利用者支援措置事業（備考 35×3／4）,,26
,,,,"社会福祉法人等低所得者利用者負担軽減制度事業（備考 7,007×3／4）",,5255
,,,児童福祉費補,,,788208
,,,,"ふじのくに新・少子化突破展開事業費補助金（備考 助金 オフィシャルサポーター認定制度事業 2,500×1／2）",,1250
,,,,ふじのくにフロンティア推進エリア形成事業費補助金（備考 子育て応援アプリ運用 660×1／2）,,330
,,衛生費補助金,,,53474,50760
,,,保健衛生費補,,,38913
,,,,"地震・津波対策等減災交付金（備考 助金 妊産婦避難所資器材等整備 199×1／2＋8×1／3 101 感染防護資材整備 539×1／2 269 医療救護所資器材等整備 6,039×1／3 2,013）",,2383
,,,,"健康増進事業費補助金（備考 健康教育事業 920×2／3 613 健康相談事業 483×2／3 322 訪問指導事業 209×2／3 139 肝炎ウイルス検診等事業 14,917×2／3 9,944 肝炎ウイルス自己負担相当額 478×10／10 478）",,11496
,,,,地域自殺対策強化事業費補助金（備考 対面相談事業 433×1／2 216 人材養成事業 103×1／2 51 こころのゲートキーパー養成事業 19×2／3 12 普及啓発事業 531×1／2 265 計画策定実態調査事業 65×1／2 32）,,576
,,,,不育症治療費助成事業費補助金（備考 不育症治療 243×2／7）,,69
,,,,"子育て支援事業費補助金（備考 乳児家庭全戸訪問事業 7,313×1／3 2,437 養育支援訪問事業 1,639×1／3 546）",,2983
